VOGAL,F1,F2,AMOSTRA
i,433.3329691357,2297.7244958245,PBSP
u,526.5385374838,1245.7528399484,PBSP
u,440.910299368,1281.0354303335,PBSP
u,439.0784439362,1296.0773207045,PBSP
e,782.2554049073,1980.5372835382,PBSP
o,781.1938896063,1182.6366231551,PBSP
e,685.5122758441,2136.7207164044,PBSP
u,472.5224521271,1248.3914130901,PBSP
o,815.1942448821,1307.30432392,PBSP
i,478.3287963146,1712.2292115948,PBSP
i,450.7005406715,2122.9133240237,PBSP
u,397.141380037,1212.3230983116,PBSP
i,399.6569765299,1923.1229366632,PBSP
o,759.1041687459,1311.0308825357,PBSP
u,185.7948429919,1086.929976811,PBSP
i,618.3499481342,2105.5563565746,PBSP
e,592.8518522963,2006.7777729438,PBSP
o,602.7554540311,1262.4390842784,PBSP
i,290.439485353,1858.5461430082,PBSP
o,728.7381128765,1160.9746137365,PBSP
e,598.9159170821,1828.6657356927,PBSP
o,782.1406719562,1271.404562639,PBSP
o,395.5216820195,1124.6898700234,PBSP
i,547.8002285658,2211.5907372876,PBSP
e,715.2386400955,1999.1481246525,PBSP
o,870.2348977977,1230.3426252687,PBSP
i,667.1779056749,1905.8656091117,PBSP
e,861.2415089789,1436.7614902476,PBSP
i,471.4797584951,1808.9005003758,PBSP
u,426.0825540881,1281.5784392081,PBSP
e,607.4828073468,2327.0784838972,PBSP
e,947.2028385045,1933.7694757197,PBSP
i,467.2804592856,1800.733432819,PBSP
i,439.7974337362,1989.3953574917,PBSP
e,558.4508355396,1860.1446779326,PBSP
i,388.1386100579,2591.9950959748,PBSP
i,370.7199865813,2052.1109270246,PBSP
i,481.3453917116,1870.6742793631,PBSP
e,638.3610330858,1853.8469333406,PBSP
i,381.4148056309,2240.9444691186,PBSP
i,373.4720298958,1919.3483104116,PBSP
i,401.0299079555,2397.9327827131,PBSP
o,768.3020219395,1250.3619220549,PBSP
e,558.0723239287,2041.8222720871,PBSP
e,751.5314902396,2256.9988218632,PBSP
u,591.5342487099,1171.0256269862,PBSP
e,777.3748388268,1769.6680109465,PBSP
o,608.2843472374,1225.7791751723,PBSP
e,756.5828057444,2134.2708742386,PBSP
e,560.163874181,2149.4054875265,PBSP
o,795.952791825,1137.8996642387,PBSP
e,1008.0414416119,1980.5989781395,PBSP
i,451.484882195,1899.2880704513,PBSP
o,878.1179713393,1254.6322660309,PBSP
o,865.5816597892,1264.7073131076,PBSP
o,627.8336395457,1172.3795453132,PBSP
o,679.9872352502,1192.597707388,PBSP
